1671492,"LEGO Yellow Minifig Head with Standard Grin (Solid Stud) (9336)",Part,Yellow,303227-93,94472287,"Used (Good)",5,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- dirty&amp;lt;/div&amp;gt;",0.490
1671492,"LEGO White Brick 2 x 2 x 2 Round with Fins (4591)",Part,White,602660-92,109849277,"Used (Good)",1,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- little yellowing&amp;lt;/div&amp;gt;",0.630
1671492,"LEGO Black Torch with Grooves (3959)",Part,Black,901759-38,56076899,"Used (Good)",2,,0.112
1671492,"LEGO Black Tail 4 x 2 x 2 (3479)",Part,Black,935962-38,47327527,"Used (Good)",1,,0.088
1671492,"LEGO White Cap with Long Flat Bill (4485)",Part,White,665447-92,104341597,"Used (Good)",1,,0.120
1671492,"LEGO Transparent Green Tile 1 x 1 with Groove (3070 / 30039)",Part,"Transparent Green",55275-100,63832585,"Used (Good)",1,,0.032
1671492,"LEGO Black Brick 1 x 10 (6111)",Part,Black,119483-38,111904017,"Used (Good)",1,,0.342
1671492,"LEGO Transparent Light Blue Minifig Helmet Visor (2447 / 88407)",Part,"Transparent Light Blue",285450-101,47312985,"Used (Good)",3,,0.028
1671492,"LEGO White Standard Helmet (2446 / 30124)",Part,White,122212-92,47313137,"Used (Good)",3,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- little yellowing&amp;lt;/div&amp;gt;",0.040
1671492,"LEGO Red Standard Helmet (2446 / 30124)",Part,Red,122212-81,100820373,"Used (Good)",1,,0.100
1671492,"LEGO Blue Standard Helmet (2446 / 30124)",Part,Blue,122212-39,100820377,"Used (Good)",1,,0.110
1671492,"LEGO Black Standard Helmet (2446 / 30124)",Part,Black,122212-38,113035025,"Used (Good)",2,,0.180
1671492,"LEGO Black Hinge Plate 1 x 2 with 3 Stubs (2452)",Part,Black,296605-38,100565739,"Used (Good)",6,,0.113
1671492,"LEGO Black Hinge Plate 1 x 2 with 3 fingers and Hollow Studs (4275)",Part,Black,489258-38,106859347,"Used (Good)",3,,0.384
1671492,"LEGO Black Hinge Plate 1 x 2 with 2 Fingers Hollow Studs (4276)",Part,Black,145239-38,106859363,"Used (Good)",6,,0.272
1671492,"LEGO Black Brick 2 x 3 (3002)",Part,Black,462227-38,114042469,"Used (Good)",1,,0.070
1671492,"LEGO Black Bracket 2 x 2 - 2 x 2 Up (3956 / 35262)",Part,Black,576372-38,105296229,"Used (Good)",1,,0.060
1671492,"LEGO Black Octopus (6086)",Part,Black,684923-38,113307165,"Used (Good)",1,"--- Some Damage / Bite Mark / Some little scratches",1.640
1671492,"LEGO Yellow Aquanaut 2 Head (Safety Stud)",Part,Yellow,296865-93,111605247,"Used (Good)",2,,0.300
1671492,"LEGO White Underwater Helmet with Antenna and Clips (6088)",Part,White,419439-92,105675059,"Used (Good)",2,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- yellowing&amp;lt;/div&amp;gt;",0.180
1671492,"LEGO Transparent Dark Blue Frogman Visor (6090)",Part,"Transparent Dark Blue",201631-98,104406667,"Used (Good)",1,,0.180
1671492,"LEGO Black Frogman Visor (6090)",Part,Black,201631-38,110419717,"Used (Good)",2,,0.480
1671492,"LEGO Yellow Head with Red Headband, Black Hair, and Freckles (Safety Stud)",Part,Yellow,244494-93,111833811,"Used (Good)",1,,0.300
1671492,"LEGO Yellow Tile 2 x 2 Round with Yellow Submarine with &quot;X&quot; Bottom",Part,Yellow,265135-93,47331777,"Used (Good)",1,,0.054
1671492,"LEGO Yellow Cone 2 x 2 x 1 &amp; 2/3 Octagonal (6039)",Part,Yellow,131512-93,47331295,"Used (Good)",2,,0.035
1671492,"LEGO Black Worm Gear with Old Axle (4716)",Part,Black,67650-38,112111425,"Used (Good)",1,,0.230
1671492,"LEGO White Wheel 30.4 x 22.8 Balloon Small (6580)",Part,White,726094-92,102885925,"Used (Good)",2,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- little yellowing&amp;lt;/div&amp;gt;",0.120
1671492,"LEGO Black Tyre 43.2 x 28 Balloon Small (6579)",Part,Black,518891-38,99198199,"Used (Good)",2,,0.100
1671492,"LEGO White Minifigure Hips and Legs (73200 / 88584)",Part,White,863328-92,114853821,"Used (Good)",3,"--- Playwear",0.300
1671492,"LEGO White Minifig Shield Triangular with Royal Knights Lion",Part,White,258532-92,114279403,"Used (Good)",1,,1.570
1671492,"LEGO Black Small Tire Ø15 X 6mm with Offset Tread with Band Around Center of Tread (87414)",Part,Black,691850-38,113215315,"Used (Good)",4,,0.033
